,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
126_KFR_lisse_842SM_5.xyz,3.3183732553193037,4.128947501204426,-0.003954885186170809,2.838863499644441,174.21761839674033,0.14971744959033728,0.19269503320559417,0.08774547755312993,11.021131712659082,0.09273089679014798,0.90763714859936,18.29090670260058,12.797383076249048,7.250007706577378
126_KFR_lisse_midmoly_5.xyz,2.6039125771025056,3.2426120865915857,-0.3618394716644258,3.0365623455843047,184.5239602043219,0.09379417173496046,0.12068975290990816,0.05503341571663374,8.608808213592107,0.07001836547291093,0.8885297418630751,6.2131957255282195,10.077599970903691,5.833966766916501
126_KFR_lisse_midmoly_3.xyz,2.616596160763976,3.318629916352474,-0.32579514604614457,3.2994600039646844,160.42893083099278,0.12106743547024744,0.15614658802690526,0.07023454214445324,8.351535404609052,0.08993959907554624,0.886764657673458,10.53648626598186,11.933453941174712,5.422481325762816
126_KFR_lisse_midmoly_4.xyz,2.6789679591715845,3.346941316893149,-0.33692159609340766,3.0634071592333663,178.59224281532977,0.11042287587979562,0.13964120428198992,0.06990534387158864,8.951916015690102,0.08393254910249741,0.903772518860562,20.382535720256868,11.879356417188715,5.833389734741582
126_KFR_lisse_midmoly_2.xyz,2.4979145090426846,3.1426912667424824,-0.42865378849889285,3.1900558048210583,168.51902094727214,0.1075102173331967,0.13857977864183496,0.06255028867753049,7.971466501864045,0.07455463728191,0.8772431384552596,7.04988982663074,9.819687491706024,5.521482274972471
126_KFR_lisse_midmoly_1.xyz,2.4820180052962746,3.1304170821671375,-0.3525264581583345,3.033047224456966,172.93992533504704,0.09416116064859341,0.12150275009460049,0.05449522978049996,7.9252090397534,0.08466189491071177,0.8808282289309297,7.646178833214606,8.960999355223628,5.49827760665411
126_lisse_4.xyz,1.4654871859792653,1.8256854016838082,-0.17486526495790491,2.9247426671186916,162.47579977148908,0.055579927065627255,0.0748090091388902,0.024121955494908205,4.898408327008196,0.08639424548515458,0.906774818896031,3.5281832832931785,6.489042701812179,3.4181550082893932
126_lisse_5.xyz,1.347887441979082,1.7421068399771265,-0.6707276506638951,3.9613176184989745,140.81371897671428,0.05589743141348059,0.07589022989207328,0.022129588432182844,4.139571709678155,0.07585184083548152,0.871043401744993,2.9017996496931886,6.133384699364842,3.263487014744129
126_lisse_2.xyz,1.2063517608146275,1.5415919683829316,-0.24265745532610059,3.324838657678832,141.8080447802373,0.05051513957250818,0.06737129531307275,0.023762727534917056,3.730672062497602,0.09574816830303727,0.8791192692881378,3.2167966363854608,5.04323397642767,2.7865266837282436
126_lisse_1.xyz,1.1387579279863238,1.431069195018593,-0.24697531455501667,3.167652955332756,131.34789002580644,0.052728494485013364,0.07070864837009147,0.02368280614680048,3.6682225641547155,0.08071452572571261,0.8874592273271157,1.5725759533173194,4.07215502347743,2.7430392430101063
